critic,fresh,imdb,publication,quote,review_date,rtid,title,quote_len,qt
Michael Sragow,1,77280.0,New Yorker,"The facts in this pop biography are often hopelessly askew, but the story is carried by the unadulterated power of Gary Busey's original and insightful performance.",2013-04-22,10992.0,The Buddy Holly Story,26,the facts in this pop biography are often hopelessly askew but the story is carried by the unadulterated power of gary buseys original and insightful performance
Sid Smith,1,89175.0,Chicago Tribune,"Fright Night dances on a tightwire between satire and terror, glittered by special effects and a with-it nonchalance.",2013-09-11,13314.0,Fright Night,18,fright night dances on a tightwire between satire and terror glittered by special effects and a with it nonchalance
Variety Staff,1,89175.0,Variety,"Chris Sarandon is terrific as the vampire, quite affable and debonair until his fingernails start to grow and his eyes get that glow.",2007-09-26,13314.0,Fright Night,23,chris sarandon is terrific as the vampire quite affable and debonair until his fingernails start to grow and his eyes get that glow
,1,89175.0,Time Out,"It shouldn't even begin to work, and yet, strangely, it does, sort of, thanks to the assured handling of writer/director Holland.",2006-01-26,13314.0,Fright Night,21,it shouldnt even begin to work and yet strangely it does sort of thanks to the assured handling of writerdirector holland
Janet Maslin,0,89175.0,New York Times,Its tone is never exactly comedic and its horrific touches are more disgusting than scary.,2003-05-20,13314.0,Fright Night,15,its tone is never exactly comedic and its horrific touches are more disgusting than scary
Roger Ebert,1,89175.0,Chicago Sun-Times,"Fright Night is not a distinguished movie, but it has a lot of fun being undistinguished.",2000-01-01,13314.0,Fright Night,16,fright night is not a distinguished movie but it has a lot of fun being undistinguished
Dave Kehr,0,61385.0,Chicago Reader,"Nothing special, but it's a decent example of a vanished genre - the small character comedy.",2000-01-01,9507.0,Barefoot in the Park,16,nothing special but its a decent example of a vanished genre   the small character comedy
,1,68473.0,TIME Magazine,"Each of the four lead performances is exceptional, none more so than Burt Reynolds' beefy, supercilious Lewis.",2008-08-24,12991.0,Deliverance,17,each of the four lead performances is exceptional none more so than burt reynolds beefy supercilious lewis
Don Druker,1,68473.0,Chicago Reader,John Boorman's 1972 film of the James Dickey novel has a beautiful visual style that balances the film's machismo message.,2007-09-18,12991.0,Deliverance,20,john boormans  film of the james dickey novel has a beautiful visual style that balances the films machismo message
Variety Staff,0,68473.0,Variety,It's the stuff of which slapdash oaters and crime programmers are made but the obvious ambitions of Deliverance are supposed to be on a higher plane.,2007-09-18,12991.0,Deliverance,26,its the stuff of which slapdash oaters and crime programmers are made but the obvious ambitions of deliverance are supposed to be on a higher plane
Vincent Canby,0,68473.0,New York Times,So many of Dickey's lumpy narrative ideas remain in his screenplay that John Boorman's screen version becomes a lot less interesting than it has any right to be.,2003-05-20,12991.0,Deliverance,28,so many of dickeys lumpy narrative ideas remain in his screenplay that john boormans screen version becomes a lot less interesting than it has any right to be
Richard Corliss,1,82348.0,TIME Magazine,"Give Boorman credit for the loopy grandeur of his imagery and imaginings, for the sweet smell of excess, for his heroic gamble that a movie can dare to trip over its pretensions -- and still fly.",2013-11-06,13073.0,Excalibur,36,give boorman credit for the loopy grandeur of his imagery and imaginings for the sweet smell of excess for his heroic gamble that a movie can dare to trip over its pretensions    and still fly
Dave Kehr,1,82348.0,Chicago Reader,"There is humor here (in the form of a vaudeville Merlin, played by Nicol Williamson) as well as a diminution of scale that seems intended to help audiences through the thornier byways of Boorman's vision.",2013-11-06,13073.0,Excalibur,35,there is humor here in the form of a vaudeville merlin played by nicol williamson as well as a diminution of scale that seems intended to help audiences through the thornier byways of boormans vision
Variety Staff,1,82348.0,Variety,"Exquisite, a near-perfect blend of action, romance, fantasy and philosophy, finely acted and beautifully filmed by director John Boorman and cinematographer Alex Thomson.",2008-10-08,13073.0,Excalibur,23,exquisite a near perfect blend of action romance fantasy and philosophy finely acted and beautifully filmed by director john boorman and cinematographer alex thomson
Vincent Canby,0,82348.0,New York Times,"Mr. Boorman takes these myths very seriously, but he has used them with a pretentiousness that obscures his vision.",2004-08-30,13073.0,Excalibur,19,mr boorman takes these myths very seriously but he has used them with a pretentiousness that obscures his vision
Emanuel Levy,0,125879.0,Variety,"This wanbabe noir is frustrating due to the meandering nature of the pretentious, riddle-like script and lethargic, incompetent direction of Paul Auster in his solo directorial debut",2006-11-15,12797.0,Lulu on the Bridge,27,this wanbabe noir is frustrating due to the meandering nature of the pretentious riddle like script and lethargic incompetent direction of paul auster in his solo directorial debut
,1,73812.0,TIME Magazine,"One thing is sure: there has never been a movie musical quite like Tommy, a weird, crazy, wonderfully excessive version of The Who's rock opera.",2013-05-06,10420.0,Tommy,25,one thing is sure there has never been a movie musical quite like tommy a weird crazy wonderfully excessive version of the whos rock opera
Dave Kehr,0,73812.0,Chicago Reader,"This 1975 film's inventiveness begins to flag about halfway through, but by then it's a relief. If only Wagner could have lived to see this.",2013-05-06,10420.0,Tommy,25,this  films inventiveness begins to flag about halfway through but by then its a relief if only wagner could have lived to see this
Variety Staff,1,73812.0,Variety,Ken Russell's filmization of Tommy is spectacular in nearly every way.,2009-03-26,10420.0,Tommy,11,ken russells filmization of tommy is spectacular in nearly every way
Geoff Andrew,0,73812.0,Time Out,"This is both the movie in which [Russell] is most faithful to the ideas and tone of his material, and one of his very worst films.",2006-06-24,10420.0,Tommy,26,this is both the movie in which russell is most faithful to the ideas and tone of his material and one of his very worst films
Vincent Canby,1,73812.0,New York Times,"It's all fairly excessive and far from subtle, but in this case good taste would have been wildly inappropriate and a fearful drag.",2005-05-09,10420.0,Tommy,23,its all fairly excessive and far from subtle but in this case good taste would have been wildly inappropriate and a fearful drag
Susan Wloszczyna,1,99558.0,USA Today,"Neither the best nor the worst, Operation Condor makes for a slap-happy medium",2000-01-01,147524440.0,Fei ying gai wak,13,neither the best nor the worst operation condor makes for a slap happy medium
Anita Gates,1,99558.0,New York Times,"The point of the movie is the fight scenes, and they're impressive, as is the car chase, one of the funniest, most inventive in recent memory.",2000-01-01,147524440.0,Fei ying gai wak,26,the point of the movie is the fight scenes and theyre impressive as is the car chase one of the funniest most inventive in recent memory
Tom Keogh,1,99558.0,Film.com,"Flawed or not, it would be churlish not to appreciate Operation Condor's Keatonesque plasticity.",2000-01-01,147524440.0,Fei ying gai wak,14,flawed or not it would be churlish not to appreciate operation condors keatonesque plasticity
Roger Ebert,1,99558.0,Chicago Sun-Times,"There's a kind of innocence to it all, and a joy of performance.",2000-01-01,147524440.0,Fei ying gai wak,13,theres a kind of innocence to it all and a joy of performance
Sam Hurwitt,1,99558.0,Salon.com,"It's far from his best work, and holds together about as well as a Clinton cabinet, but it's still thoroughly entertaining.",2000-01-01,147524440.0,Fei ying gai wak,21,its far from his best work and holds together about as well as a clinton cabinet but its still thoroughly entertaining
